title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
PALMEIRAS SE DESTACA NO PRÊMIO CONAFUT 2024,aN5DNDVtLc8,"O Palmeiras se destacou mais uma vez no tradicional Prêmio CONAFUT 2024. O Verdão foi premiado nas categorias Análise de Desempenho, Comissão Técnica e Executivo de Futebol (Anderson Barros).

Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-18T13:48:19Z,2024-06-18 18:09:17.483321,125,441,6,"{'default': {'url': 'https://i.ytimg.com/vi/aN5DNDVtLc8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aN5DNDVtLc8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aN5DNDVtLc8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/aN5DNDVtLc8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/aN5DNDVtLc8/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
GOOOOLS | SÃO PAULO 1 X 5 PALMEIRAS | BRASILEIRO FEMININO 2024,gFHW3mJAFKo,"Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-18T13:09:50Z,2024-06-18 18:09:17.483321,116,469,12,"{'default': {'url': 'https://i.ytimg.com/vi/gFHW3mJAFKo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gFHW3mJAFKo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gFHW3mJAFKo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/gFHW3mJAFKo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/gFHW3mJAFKo/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
GOLEADA HISTÓRICA | ATLÉTICO-MG 0 X 4 PALMEIRAS | BRASILEIRÃO 2024,8T-pKmT5o9c,"Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-18T06:42:37Z,2024-06-18 18:09:17.483321,1177,7812,31,"{'default': {'url': 'https://i.ytimg.com/vi/8T-pKmT5o9c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8T-pKmT5o9c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8T-pKmT5o9c/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/8T-pKmT5o9c/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/8T-pKmT5o9c/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
GOOLS | ATLÉTICO-MG 0 X 4 PALMEIRAS | BRASILEIRÃO 2024,28HbEMGy9Nw,"Confira os gols da goleada histórica do Palmeiras sobre o Atlético-MG na Arena MRV.
-----------
Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-18T06:40:21Z,2024-06-18 18:09:17.483321,348,1590,23,"{'default': {'url': 'https://i.ytimg.com/vi/28HbEMGy9Nw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/28HbEMGy9Nw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/28HbEMGy9Nw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/28HbEMGy9Nw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/28HbEMGy9Nw/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
💚💚 ANOTA MAIS 3 NA CONTA! AVANTI PALESTRA! 💚💚,CitUQUPwWL8,"Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-18T02:47:13Z,2024-06-18 18:09:17.483321,2520,14442,55,"{'default': {'url': 'https://i.ytimg.com/vi/CitUQUPwWL8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/CitUQUPwWL8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/CitUQUPwWL8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/CitUQUPwWL8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/CitUQUPwWL8/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"🐷🐷 MAIS UMA VITÓRIA, PAREDÃO! 🐷🐷",bhQ5Zqh39h4,"Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-18T02:46:59Z,2024-06-18 18:09:17.483321,1325,6952,18,"{'default': {'url': 'https://i.ytimg.com/vi/bhQ5Zqh39h4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bhQ5Zqh39h4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bhQ5Zqh39h4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/bhQ5Zqh39h4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/bhQ5Zqh39h4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
⚽️⚽️ A GOLEADA DO VERDÃO EM BELO HORIZONTE ⚽️⚽️,tYpMuxgYMo0,"Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-18T02:46:40Z,2024-06-18 18:09:17.483321,2713,18731,53,"{'default': {'url': 'https://i.ytimg.com/vi/tYpMuxgYMo0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tYpMuxgYMo0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tYpMuxgYMo0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/tYpMuxgYMo0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/tYpMuxgYMo0/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
💚🐷 ESTÊVÃO COMENTA GOLEADA EM BELO HORIZONTE 🐷💚,qdiViwpqPyM,"Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-18T02:40:32Z,2024-06-18 18:09:17.483321,3972,21030,64,"{'default': {'url': 'https://i.ytimg.com/vi/qdiViwpqPyM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qdiViwpqPyM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qdiViwpqPyM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/qdiViwpqPyM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/qdiViwpqPyM/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA | ATLÉTICO MINEIRO 0 X 4 PALMEIRAS | BRASILEIRO 2024,rZ42TyiNn0U,"Entrevista coletiva com o técnico Abel Ferreira após a partida contra o Atlético Mineiro, pelo Campeonato Brasileiro 2024. 
-----------
Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #abelferreira #tvpalmeiras #avantipalestra #coletiva #coletivaabelferreira #coletivapalmeiras #copadobrasil2024",2024-06-18T02:17:45Z,2024-06-18 18:09:17.483321,12262,125684,348,"{'default': {'url': 'https://i.ytimg.com/vi/rZ42TyiNn0U/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rZ42TyiNn0U/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rZ42TyiNn0U/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/rZ42TyiNn0U/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/rZ42TyiNn0U/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
💚💚 O VESTIÁRIO DAS #PALESTRINAS APÓS GOLEADA NO CHOQUE-RAINHA 💚💚,imQdTggcw3w,"Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-17T22:43:18Z,2024-06-18 18:09:17.483321,858,4492,22,"{'default': {'url': 'https://i.ytimg.com/vi/imQdTggcw3w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/imQdTggcw3w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/imQdTggcw3w/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/imQdTggcw3w/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/imQdTggcw3w/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
🐷🐷 AVANTI PALESTRINAS! 🐷🐷,pvSH5zWZ6Ic,"Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-17T21:56:55Z,2024-06-18 18:09:17.483321,798,4073,6,"{'default': {'url': 'https://i.ytimg.com/vi/pvSH5zWZ6Ic/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pvSH5zWZ6Ic/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pvSH5zWZ6Ic/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/pvSH5zWZ6Ic/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/pvSH5zWZ6Ic/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
🐷💚 SIIIIIIIUUUU!!! 💚🐷,dy9Wqz7Buic,"Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-17T21:55:04Z,2024-06-18 18:09:17.483321,791,4211,9,"{'default': {'url': 'https://i.ytimg.com/vi/dy9Wqz7Buic/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dy9Wqz7Buic/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dy9Wqz7Buic/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/dy9Wqz7Buic/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/dy9Wqz7Buic/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
⚽️⚽️ SHOW DE GOLS DAS PALESTRINAS NO CLÁSSICO CONTRA O SÃO PAULO ⚽️⚽️,ubqSDa78epY,"Conteúdo Powered by @CanonBR
-----------
Concorra a mais de 600 prêmios durante o ano no Palmeiras Pay Premiado.
Clique no link e faça seu cadastro:
https://bit.ly/palmeiras-pay-premiado
-----------
Inscreva-se aqui na TV PALMEIRAS/FAM:
http://bit.ly/TVPalmeiras
-----------
Siga o Verdão nas redes sociais! 
Facebook: http://facebook.com/Palmeiras
Instagram: http://Instagram.com/Palmeiras
Twitter: https://twitter.com/Palmeiras
TikTok: https://tiktok.com/Palmeiras
-------------
#palmeiras #tvpalmeiras #verdão",2024-06-17T21:54:13Z,2024-06-18 18:09:17.483321,649,5024,11,"{'default': {'url': 'https://i.ytimg.com/vi/ubqSDa78epY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ubqSDa78epY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ubqSDa78epY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ubqSDa78epY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ubqSDa78epY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
