title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
COLETIVA PÓS-JOGO | RENATO PORTALUPPI (CAMPEONATO BRASILEIRO 2024),Jnx8kTtXv-s,"O técnico Renato Portaluppi concedeu entrevista coletiva após a derrota para o Botafogo, no Espírito Santo, pelo Campeonato Brasileiro 2024.


→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-17T02:52:42Z,2024-06-18 18:13:13.439255,425,4871,124,"{'default': {'url': 'https://i.ytimg.com/vi/Jnx8kTtXv-s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Jnx8kTtXv-s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Jnx8kTtXv-s/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Jnx8kTtXv-s/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Jnx8kTtXv-s/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
TRANSMISSÃO AO VIVO | GRÊMIO x BOTAFOGO (CAMPEONATO BRASILEIRO 2024),npDmrEWuZUM,"O Tricolor volta a campo para tentar a reabilitação no Campeonato Brasileiro. O adversário deste domingo à noite é o Botafogo, no estádio Kleber Andrade, em Cariacica, no Espirito Santo. Acompanhe nossa transmissão de gremista para gremista na Grêmio Rádio Umbro 95.5FM.

#live #youtube #livestream #grêmio #futebol #futebolaovivo 

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-17T00:49:26Z,2024-06-18 18:13:13.439255,1420,39345,26,"{'default': {'url': 'https://i.ytimg.com/vi/npDmrEWuZUM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/npDmrEWuZUM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/npDmrEWuZUM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/npDmrEWuZUM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/npDmrEWuZUM/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA PÓS-JOGO | RENATO PORTALUPPI (CAMPEONATO BRASILEIRO 2024),Od7UAQxXNzY,"O técnico Renato Portaluppi concedeu entrevista coletiva após a derrota para o Flamengo, no Maracanã, pelo Campeonato Brasileiro 2024.


→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-14T02:37:20Z,2024-06-18 18:13:13.439255,414,5508,90,"{'default': {'url': 'https://i.ytimg.com/vi/Od7UAQxXNzY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Od7UAQxXNzY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Od7UAQxXNzY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Od7UAQxXNzY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Od7UAQxXNzY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
TRANSMISSÃO AO VIVO | FLAMENGO x GRÊMIO (CAMPEONATO BRASILEIRO 2024),0-ge8aKTfhY,"O Grêmio entra em campo nesta quinta-feira à noite para encarar o Flamengo, no estádio do Maracanã, no Rio de Janeiro! 
Após duas partidas válidas pela Libertadores, o Tricolor volta suas atenções para o Brasileirão, onde terá uma sequência difícil pela frente. Venha torcer conosco!

#live #livestream #futebol #aovivo #grêmio #youtube 

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-14T02:04:02Z,2024-06-18 18:13:13.439255,1544,49884,9,"{'default': {'url': 'https://i.ytimg.com/vi/0-ge8aKTfhY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/0-ge8aKTfhY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/0-ge8aKTfhY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/0-ge8aKTfhY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/0-ge8aKTfhY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
RESUMO DA SEMANA I RIO DE JANEIRO,ifLm9MPHwvA,"Após a classificação para as oitavas da Libertadores, o Grêmio volta as suas atenções para o Campeonato Brasileiro. E o próximo adversário será o Flamengo, no Maracanã. Por isso, a delegação tricolor trabalhou desde a segunda-feira na cidade maravilhosa. E você acompanha tudo o que rolou com exclusivdade, aqui, na GrêmioTV.

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-12T22:13:50Z,2024-06-18 18:13:13.439255,436,2744,20,"{'default': {'url': 'https://i.ytimg.com/vi/ifLm9MPHwvA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ifLm9MPHwvA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ifLm9MPHwvA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ifLm9MPHwvA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ifLm9MPHwvA/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
GRÊMIO INICIA SEMANA NO RJ,OIS8vWKWli4,"Visando o confronto contra o Flamengo, na próxima quinta-feira, a equipe comandada pelo técnico Renato Portaluppi iniciou a semana de treinamentos no CT Carlos José Castilho, do Fluminense, na capital carioca.
Veja imagens exclusivas das atividades dessa segunda e terça, aqui na GrêmioTV.

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-11T20:10:44Z,2024-06-18 18:13:13.439255,396,2589,19,"{'default': {'url': 'https://i.ytimg.com/vi/OIS8vWKWli4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/OIS8vWKWli4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/OIS8vWKWli4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/OIS8vWKWli4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/OIS8vWKWli4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA PÓS-JOGO | RENATO PORTALUPPI E FRANCO CRISTALDO (CONMEBOL LIBERTADORES DA AMÉRICA 2024),P11iUotY5G4,"Confira a coletiva do técnico Renato Portaluppi e do meia Franco Cristaldo após a partida do Tricolor contra o Estudiantes de La Plata, no Couto Pereira, em Curitiba, pela fase de grupos da Copa Libertadores.

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-09T06:19:08Z,2024-06-18 18:13:13.439255,521,6264,54,"{'default': {'url': 'https://i.ytimg.com/vi/P11iUotY5G4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/P11iUotY5G4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/P11iUotY5G4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/P11iUotY5G4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/P11iUotY5G4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
TRANSMISSÃO AO VIVO | GRÊMIO x ESTUDIANTES DE LA PLATA/ARG (CONMEBOL LIBERTADORES DA AMÉRICA 2024),IURwzQxDGv4,"O Tricolor entra em campo com o apoio de mais de 32 mil torcedores na noite deste sábado, em Curitiba para buscar a primeira colocação no Grupo C da CONMEBOL Libertadores da América. Já classificado às oitavas, o Tricolor encara o Estudiantes e uma vitória garante o Tricolor como líder do grupo.

#live #livestream #futebol #libertadores #grêmio #youtube 

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-09T01:16:44Z,2024-06-18 18:13:13.439255,1665,57065,1,"{'default': {'url': 'https://i.ytimg.com/vi/IURwzQxDGv4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IURwzQxDGv4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IURwzQxDGv4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/IURwzQxDGv4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/IURwzQxDGv4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
TUDO PRONTO: Grêmio encerra preparativos para enfrentar Estudiantes,vr_B0QLafEI,"Em busca da primeira colocação no Grupo C da Copa Libertadores da América, o Tricolor finalizou seus preparativos para enfrentar o Estudiantes de La Plata, amanhã, às 19h, no Estádio Couto Pereira, em Curitiba. 

O técnico Renato Portaluppi comandou os últimos trabalhos antes do duelo com o time argentino, que não tem mais chance de classificação nem para Sul-Americana.

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-07T23:37:02Z,2024-06-18 18:13:13.439255,615,4693,35,"{'default': {'url': 'https://i.ytimg.com/vi/vr_B0QLafEI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vr_B0QLafEI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vr_B0QLafEI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/vr_B0QLafEI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/vr_B0QLafEI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"Confira a entrevista coletiva do Vice de Futebol, Antônio Brum - 07/06",ju-JnAFCGDU,"O vice de Futebol , Antônio Brum, concede entrevista coletiva aos veículos de imprensa presentes em Curitiba, no Paraná. E a GrêmioTV participou e mostra na integra pra você, torcedor gremista.


→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-07T18:59:00Z,2024-06-18 18:13:13.439255,927,11348,45,"{'default': {'url': 'https://i.ytimg.com/vi/ju-JnAFCGDU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ju-JnAFCGDU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ju-JnAFCGDU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ju-JnAFCGDU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ju-JnAFCGDU/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA PÓS-JOGO | RENATO PORTALUPPI E DIEGO COSTA (CONMEBOL LIBERTADORES DA AMÉRICA 2024),J11X-4GgbXE,"Confira a coletiva do técnico Renato Portaluppi e do atacante Diego Costa após a vitória da equipe sobre o Huachipato, no Chile, pela fase de grupos da Copa Libertadores.

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-05T13:43:31Z,2024-06-18 18:13:13.439255,723,7688,48,"{'default': {'url': 'https://i.ytimg.com/vi/J11X-4GgbXE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/J11X-4GgbXE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/J11X-4GgbXE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/J11X-4GgbXE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/J11X-4GgbXE/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
TRANSMISSÃO AO VIVO | C.D. HUACHIPATO/CHI x GRÊMIO (CONMEBOL LIBERTADORES DA AMÉRICA 2024),ox6gsgVqjNA,"O Grêmio encara o Huachipato, no Chile, pela 5ª rodada do Grupo C da Libertadores da América! Só a vitória interessa para manter o sonho gremista vivo na maior competição do continente. Vamos torcer juntos em mais uma transmissão de gremista para gremista!

#live #livestream #libertadores #futebol #grêmio #futebolaovivo 


→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-05T03:14:34Z,2024-06-18 18:13:13.439255,3048,103744,6,"{'default': {'url': 'https://i.ytimg.com/vi/ox6gsgVqjNA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ox6gsgVqjNA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ox6gsgVqjNA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ox6gsgVqjNA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ox6gsgVqjNA/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"""La Chilena"": Uma história de Talcahuano",VvspfZsTtwk,"Acompanhando o Tricolor em Talcahuano, a equipe da GrêmioTV aproveitou para conhecer o local onde foi inventada a jogada de bicicleta. Acompanhe como foi essa matéria especial. 

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-04T16:43:55Z,2024-06-18 18:13:13.439255,797,7870,53,"{'default': {'url': 'https://i.ytimg.com/vi/VvspfZsTtwk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/VvspfZsTtwk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/VvspfZsTtwk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/VvspfZsTtwk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/VvspfZsTtwk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
FRIO CHILENO: Grêmio finaliza preparação para o confronto contra o Huachipato,POyPRCGYt-Q,"Na tarde fria e nublada desta segunda-feira, o plantel gremista fez o único treinamento em solo chileno e o último antes de enfrentar o Huachipato, amanhã, às 21h, pela penúltima rodada da fase de grupos da Copa Libertadores da América. 

O treino foi realizado no campo da Universidad Técnica Federico Santa María, em Concepción, distante apenas 3 km do hotel onde a delegação está concentrada desde ontem. 

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-04T00:00:11Z,2024-06-18 18:13:13.439255,704,5379,27,"{'default': {'url': 'https://i.ytimg.com/vi/POyPRCGYt-Q/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/POyPRCGYt-Q/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/POyPRCGYt-Q/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/POyPRCGYt-Q/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/POyPRCGYt-Q/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
RODRIGO CAIO É NOVO REFORÇO TRICOLOR 🇪🇪,9Rr3Llkbj5Q,"O Grêmio anuncia que chegou a um acordo para a contratação do zagueiro Rodrigo Caio.

Seja bem-vindo!

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-03T20:15:00Z,2024-06-18 18:13:13.439255,1521,26525,112,"{'default': {'url': 'https://i.ytimg.com/vi/9Rr3Llkbj5Q/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/9Rr3Llkbj5Q/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/9Rr3Llkbj5Q/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/9Rr3Llkbj5Q/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/9Rr3Llkbj5Q/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
GRÊMIO CHEGA AO CHILE PARA PARTIDA CONTRA O HUACHIPATO,veNUEygDz1c,"O Tricolor gaúcho já chegou ao Chile. Em viagem tranquila, equipe se deslocou de Curitiba para Concepcion, onde ficará hospedada até a próxima quarta-feira, depois da partida contra o Huachipato, pela Copa Libertadores da América. 

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-03T11:00:50Z,2024-06-18 18:13:13.439255,608,3989,30,"{'default': {'url': 'https://i.ytimg.com/vi/veNUEygDz1c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/veNUEygDz1c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/veNUEygDz1c/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/veNUEygDz1c/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/veNUEygDz1c/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA PÓS-JOGO | RENATO PORTALUPPI (CAMPEONATO BRASILEIRO 2024),SIlwc6k37JU,"O técnico Renato Portaluppi concedeu entrevista coletiva após a derrota para o RedBull Bragantino, pelo Campeonato Brasileiro 2024, no Estádio Couto Pereira.


→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-02T01:22:12Z,2024-06-18 18:13:13.439255,426,5817,53,"{'default': {'url': 'https://i.ytimg.com/vi/SIlwc6k37JU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SIlwc6k37JU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SIlwc6k37JU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/SIlwc6k37JU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/SIlwc6k37JU/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
TRANSMISSÃO AO VIVO | GRÊMIO x RED BULL BRAGANTINO (CAMPEONATO BRASILEIRO 2024),8YE8bntal8M,"Confira a transmissão de gremista para gremista da retomada do Tricolor no Campeonato Brasileiro 2024!
#live #livestream #aovivo #futebol #youtube #youtubevideo 

→ Inscreva-se no canal e faça parte da torcida mais fanática do Brasil também aqui no YouTube!

:: SITE http://gremio.net
:: FACEBOOK https://facebook.com/gremio
:: TWITTER @gremio e @gremiotv
:: INSTAGRAM https://instagram.com/gremio


*** Esta é a GrêmioTV, o canal oficial do Grêmio FBPA no YouTube. Acompanhe vídeos exclusivos e transmissões ao vivo durante a semana. *** 

PRODUÇÃO E REALIZAÇÃO: Comunicação Grêmio FBPA",2024-06-01T22:16:39Z,2024-06-18 18:13:13.439255,1204,49496,4,"{'default': {'url': 'https://i.ytimg.com/vi/8YE8bntal8M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8YE8bntal8M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8YE8bntal8M/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/8YE8bntal8M/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/8YE8bntal8M/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
