title,video_id,video_description,published_date,extraction_date,likes,views,comment,thumbnail
CUIABÁ x FORTALEZA | BRASILEIRO 2024 | RÁDIO LEÃO 100/TV LEÃO,A18qWMQEIJ8,"🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

📲 Acesse, aposte e comece bem com a Novibet: https://br.novibet.com

#FortalezaEC",2024-06-17T11:36:50Z,2024-06-18 18:22:53.936453,344,12557,0,"{'default': {'url': 'https://i.ytimg.com/vi/A18qWMQEIJ8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/A18qWMQEIJ8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/A18qWMQEIJ8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/A18qWMQEIJ8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/A18qWMQEIJ8/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA COM VOJVODA | CUIABÁ x FORTALEZA | BRASILEIRÃO 2024,J5wkQgU2sQc,"O técnico Juan Pablo Vojvoda concedeu entrevista coletiva após o jogo contra o Cuiabá, pela 9ª rodada do Campeonato Brasileiro Série A, na Arena Pantanal. 

🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

#FortalezaEC #Vojvoda #TVLeão #Cuiabá #brasileirão",2024-06-17T02:05:05Z,2024-06-18 18:22:53.936453,893,12537,257,"{'default': {'url': 'https://i.ytimg.com/vi/J5wkQgU2sQc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/J5wkQgU2sQc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/J5wkQgU2sQc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/J5wkQgU2sQc/sddefault.jpg', 'width': 640, 'height': 480}}"
PRONUNCIAMENTO | PRESIDENTE ALEX SANTIAGO E CEO MARCELO PAZ | TV LEÃO,AO5gPUByCX4,"O presidente Alex Santiago e o CEO Marcelo Paz concederam um pronunciamento após a partida contra o Cuiabá, na Arena Pantanal, válida pela 9ª rodada do Brasileirão Série A. 

🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

#FortalezaEC #TVLeão #MarceloPaz #AlexSantiago",2024-06-17T02:02:16Z,2024-06-18 18:22:53.936453,623,5575,209,"{'default': {'url': 'https://i.ytimg.com/vi/AO5gPUByCX4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/AO5gPUByCX4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/AO5gPUByCX4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/AO5gPUByCX4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/AO5gPUByCX4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
🔴 AO VIVO | FORTALEZA FUTSAL X AMÉRICA-MG | BRASILEIRO DE FUTSAL 2024,4Av8hKyP41s,"🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

📲 Acesse, aposte e comece bem com a Novibet: https://br.novibet.com

#FortalezaEC",2024-06-16T17:07:25Z,2024-06-18 18:22:53.936453,680,15021,4,"{'default': {'url': 'https://i.ytimg.com/vi/4Av8hKyP41s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4Av8hKyP41s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4Av8hKyP41s/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/4Av8hKyP41s/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/4Av8hKyP41s/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
BAHIA x FORTALEZA | BRASILEIRO 2024 | RÁDIO LEÃO 100/TV LEÃO,LtHFcRo6GTI,"🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

📲 Acesse, aposte e comece bem com a Novibet: https://br.novibet.com

#FortalezaEC",2024-06-14T14:41:07Z,2024-06-18 18:22:53.936453,225,3938,2,"{'default': {'url': 'https://i.ytimg.com/vi/LtHFcRo6GTI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LtHFcRo6GTI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LtHFcRo6GTI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/LtHFcRo6GTI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/LtHFcRo6GTI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA COM VOJVODA | BAHIA x FORTALEZA | BRASILEIRÃO 2024,gR6Muz-Ewf4,"O técnico Juan Pablo Vojvoda concedeu entrevista coletiva após o jogo Bahia 1x0 Fortaleza, pela 8ª rodada do Campeonato Brasileiro Série A, na Arena Fonte Nova. 

🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

#FortalezaEC #Vojvoda #TVLeão",2024-06-14T04:12:54Z,2024-06-18 18:22:53.936453,566,7876,151,"{'default': {'url': 'https://i.ytimg.com/vi/gR6Muz-Ewf4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gR6Muz-Ewf4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gR6Muz-Ewf4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/gR6Muz-Ewf4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/gR6Muz-Ewf4/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
JOGO COMPLETO | FORTALEZA FUTSAL X ACARAÚ | CEARENSE FUTSAL 2024,ayYOQWGouRc,"🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

📲 Acesse, aposte e comece bem com a Novibet: https://br.novibet.com

#FortalezaEC",2024-06-14T00:44:05Z,2024-06-18 18:22:53.936453,463,10682,2,"{'default': {'url': 'https://i.ytimg.com/vi/ayYOQWGouRc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ayYOQWGouRc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ayYOQWGouRc/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ayYOQWGouRc/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ayYOQWGouRc/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
JOGO COMPLETO | FORTALEZA x INTERNACIONAL | BRASILEIRÃO SUB-20 2024,Tc-n8bGKxCI,"Entrando em campo pela rodada adiada do Brasileirão Sub-20, o Fortaleza recebe o Internacional-RS, nesta quarta-feira (12), às 16h, no Estádio Presidente Vargas.

Acompanhe ao vivo e com imagens na TV Leão Novibet.

🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

📲 Acesse, aposte e comece bem com a Novibet: https://br.novibet.com

#FortalezaEC #Sub20 #Brasileiro #Brasileirão",2024-06-12T21:07:21Z,2024-06-18 18:22:53.936453,1196,44731,9,"{'default': {'url': 'https://i.ytimg.com/vi/Tc-n8bGKxCI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Tc-n8bGKxCI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Tc-n8bGKxCI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Tc-n8bGKxCI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Tc-n8bGKxCI/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
HORA DE VIRAR A CHAVE! FOCO TOTAL NO BRASILEIRÃO | TV LEÃO,UeMzFYvUdlM,"Passada a Copa do Nordeste, o Fortaleza volta a focar no #Brasileirão com atenções voltadas ao Bahia. A delegação embarcou para Salvador na manhã desta quarta-feira (12) e encara os donos da casa na quinta, às 21h30, na Arena Fonte Nova.

Antes da bola rolar pela oitava rodada, Fortaleza ocupa a 11ª posição na tabela com 10 pontos em seis jogos.

🎥 Captação e edição: Renan Ferreira

🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

📲 Acesse, aposte e comece bem com a Novibet: https://br.novibet.com

#FortalezaEC #Brasileirão #Bahia",2024-06-12T14:22:56Z,2024-06-18 18:22:53.936453,442,3320,11,"{'default': {'url': 'https://i.ytimg.com/vi/UeMzFYvUdlM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UeMzFYvUdlM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UeMzFYvUdlM/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/UeMzFYvUdlM/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/UeMzFYvUdlM/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
DA CHUTEIRA AO TÊNIS | RAFINHA (ATLETA DO FORTALEZA FUTSAL) | RÁDIO LEÃO 100/TV LEÃO,ChwC64saelQ,"🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

📲 Acesse, aposte e comece bem com a Novibet: https://br.novibet.com

#FortalezaEC",2024-06-12T12:25:30Z,2024-06-18 18:22:53.936453,56,457,0,"{'default': {'url': 'https://i.ytimg.com/vi/ChwC64saelQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ChwC64saelQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ChwC64saelQ/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/ChwC64saelQ/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/ChwC64saelQ/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA COM VOJVODA | CRB x FORTALEZA | TRICAMPEÃO DA COPA DO NORDESTE 2024,PoHcARO_I6Q,"O Fortaleza é Tricampeão do Nordeste! O técnico Juan Pablo Vojvoda concedeu entrevista coletiva no Estádio Rei Pelé após o confronto contra o CRB. 

🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

#FortalezaEC #Vojvoda #TVLeão",2024-06-10T16:17:20Z,2024-06-18 18:22:53.936453,630,5098,36,"{'default': {'url': 'https://i.ytimg.com/vi/PoHcARO_I6Q/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PoHcARO_I6Q/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PoHcARO_I6Q/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/PoHcARO_I6Q/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/PoHcARO_I6Q/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
CRB x FORTALEZA | COPA DO NORDESTE 2024 | RÁDIO LEÃO 100/TV LEÃO,pGLGOl1ejYs,"🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

📲 Acesse, aposte e comece bem com a Novibet: https://br.novibet.com

#FortalezaEC",2024-06-09T22:47:20Z,2024-06-18 18:22:53.936453,432,9008,6,"{'default': {'url': 'https://i.ytimg.com/vi/pGLGOl1ejYs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pGLGOl1ejYs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pGLGOl1ejYs/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/pGLGOl1ejYs/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/pGLGOl1ejYs/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
🎥 BASTIDORES | FORTALEZA 1x0 ATHLETICO PARANAENSE | BRASILEIRÃO,SSCnkF_gYwA,"VITÓRIA IMPORTANTE EM CASA NO BRASILEIRÃO! 🦁

Em confronto válido pela sétima rodada do Campeonato Brasileiro, o Fortaleza recebeu a equipe do Athletico Paranaense, até então líder do torneio, e saiu vitorioso pelo placar de 1 a 0 no Estádio Presidente Vargas. Kuscevic marcou o único gol da partida.

Confira agora os #Bastidores desse triunfo na TV Leão!

Captação: Felipe Cruz e Igor Mendes.
Edição: Felipe Cruz

🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

📲 Acesse, aposte e comece bem com a Novibet: https://br.novibet.com

#FortalezaEC #Brasileirão #CAP #Kuscevic",2024-06-09T13:29:21Z,2024-06-18 18:22:53.936453,724,6928,90,"{'default': {'url': 'https://i.ytimg.com/vi/SSCnkF_gYwA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SSCnkF_gYwA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SSCnkF_gYwA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/SSCnkF_gYwA/sddefault.jpg', 'width': 640, 'height': 480}}"
A FESTA MAIS BONITA DO FUTEBOL BRASILEIRO | FORTALEZA X CRB | TV LEÃO,tcldC40WWZY,"A Nação Tricolor fez uma linda festa no confronto de ida da grande final da Copa do Nordeste!

É definitivamente a torcida do clube que faz a #FestaMaisBonitaDoFutebolBrasileiro

🎥 Joma Drone
🧑‍💻 Matheus Amorim/FEC

#FortalezaEC",2024-06-08T14:44:49Z,2024-06-18 18:22:53.936453,431,3957,17,"{'default': {'url': 'https://i.ytimg.com/vi/tcldC40WWZY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tcldC40WWZY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tcldC40WWZY/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/tcldC40WWZY/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/tcldC40WWZY/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
🎙️ COLETIVA COM TITI | TV LEÃO,RkgotGmaRQk,"O zagueiro Titi concedeu entrevista coletiva pré-jogo visando o duelo da volta contra o CRB pela final da Copa do Nordeste. 

🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

📲 Acesse, aposte e comece bem com a Novibet: https://br.novibet.com

#Titi #FortalezaEC #TVLeão #CopadoNordeste",2024-06-07T19:44:42Z,2024-06-18 18:22:53.936453,795,7144,31,"{'default': {'url': 'https://i.ytimg.com/vi/RkgotGmaRQk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RkgotGmaRQk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RkgotGmaRQk/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/RkgotGmaRQk/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/RkgotGmaRQk/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
LEÃO 100 E O STAFF TRICOLOR | CARLOS LAROCCA (TREINADOR DO FEC SUB-17) | RÁDIO LEÃO 100/TV LEÃO,HiDbQ-s6W00,"🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

📲 Acesse, aposte e comece bem com a Novibet: https://br.novibet.com

#FortalezaEC",2024-06-07T12:11:40Z,2024-06-18 18:22:53.936453,87,755,0,"{'default': {'url': 'https://i.ytimg.com/vi/HiDbQ-s6W00/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/HiDbQ-s6W00/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/HiDbQ-s6W00/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/HiDbQ-s6W00/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/HiDbQ-s6W00/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
COLETIVA COM VOJVODA | FORTALEZA 2x0 CRB | FINAL DA COPA DO NORDESTE,JkkZ-T-Ld68,"Entrevista coletiva de pós-jogo com o técnico Juan Pablo Vojvoda sobre Fortaleza 2x0 CRB, válido pela primero jogo da final da Copa do Nordeste. 

🦁 Seja sócio! Seja sócia! Ajude o Fortaleza a ficar ainda maior:  https://sociofortaleza.com.br/

📌 Saiba todas as informações do dia a dia do Fortaleza: https://fortaleza1918.com.br

#FortalezaEC #Vojvoda #TvLeão",2024-06-06T05:51:09Z,2024-06-18 18:22:53.936453,1124,10709,31,"{'default': {'url': 'https://i.ytimg.com/vi/JkkZ-T-Ld68/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JkkZ-T-Ld68/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JkkZ-T-Ld68/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/JkkZ-T-Ld68/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/JkkZ-T-Ld68/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
"Fala, Rosseto! #FortalezaEC",JRkKpaXS870,,2024-06-06T03:39:46Z,2024-06-18 18:22:53.936453,1063,7510,16,"{'default': {'url': 'https://i.ytimg.com/vi/JRkKpaXS870/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JRkKpaXS870/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JRkKpaXS870/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/JRkKpaXS870/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/JRkKpaXS870/maxresdefault.jpg', 'width': 1280, 'height': 720}}"
